ID,NAME,BOT_ID,MISSION_ID,ORDER,CREATIVE_NAME,learn_data,Story,LEARN_MECHANISM (LLM type),Activity_Category,STATUS,Level_bot_id,ICON,estimate time,,
262026_6.1,Thử thách gọi tên,1114,preA1_4,11,Thử thách gọi tên,"{
  ""words"": []
 }",Thử thách: Hô to những biểu tượng cậu thấy. Phải thật nhanh nha!,WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1114
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",
060526_2,Nắng gió bốn mùa,1575,preA1_4,12,Nắng gió bốn mùa,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1575
  }
}",,,"{
""words"": [
{ ""word"": ""hot"", ""translation"": ""nóng"" },
{ ""word"": ""cold"", ""translation"": ""lạnh"" },
{ ""word"": ""wet"", ""translation"": ""ướt"" },
{ ""word"": ""dry"", ""translation"": ""khô"" },
{ ""word"": ""cool"", ""translation"": ""mát mẻ"" },
{ ""word"": ""warm"", ""translation"": ""ấm áp"" }
],
""sentences"": []
}
",
060526_3,Phép màu kỳ diệu,1496,preA1_5,13,Phép màu kỳ diệu,"{
""words"": [
{ ""word"": ""Cold"", ""translation"": ""lạnh"" },
{ ""word"": ""wet"", ""translation"": ""ướt"" },
{ ""word"": ""dry"", ""translation"": ""khô"" },
{ ""word"": ""cool"", ""translation"": ""mát mẻ"" }
],
""sentences"": []
}
",Cùng nói cụm từ 3 lần để thấy phép màu kỳ diệu từ hành tinh Popa,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1496
  }
}",,,"{
""words"": [
{ ""word"": ""Cold"", ""translation"": ""lạnh"" },
{ ""word"": ""wet"", ""translation"": ""ướt"" },
{ ""word"": ""dry"", ""translation"": ""khô"" },
{ ""word"": ""cool"", ""translation"": ""mát mẻ"" }
],
""sentences"": []
}
",
262026_3.1,Đường đua kỳ thú,1142,preA1_5,14,Đường đua kỳ thú,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",Tham gia hành trình phiêu lưu kỳ thú cùng bạn của Pika thôi!,WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1142
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""sunny"",
  ""translation"": ""Trời nắng""
  },
  {
  ""word"": ""rainy"",
  ""translation"": ""Trời mưa""
  },
  {
  ""word"": ""windy"",
  ""translation"": ""Trời nhiều gió""
  },
  {
  ""word"": ""cloudy"",
  ""translation"": ""Trời nhiều mây""
  },
  {
  ""word"": ""snowy"",
  ""translation"": ""Trời tuyết""
  },
  {
  ""word"": ""foggy"",
  ""translation"": ""Trời sương mù""
  }
  ]
 }",
262026_6,Lựa chọn đúng - trúng phần quà,1111,preA1_6,15,Lựa chọn đúng - trúng phần quà,"{
  ""words"": [
  {
  ""word"": ""hot"",
  ""translation"": ""nóng""
  },
  {
  ""word"": ""cold"",
  ""translation"": ""lạnh""
  },
  {
  ""word"": ""wet"",
  ""translation"": ""ướt""
  },
  {
  ""word"": ""dry"",
  ""translation"": ""khô""
  },
  {
  ""word"": ""cool"",
  ""translation"": ""mát""
  },
  {
  ""word"": ""warm"",
  ""translation"": ""ấm""
  }
  ]
 }","Thử tài tinh mắt, phán đoán và nói đúng từ tiếng Anh mà cậu chọn",WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1111
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""hot"",
  ""translation"": ""nóng""
  },
  {
  ""word"": ""cold"",
  ""translation"": ""lạnh""
  },
  {
  ""word"": ""wet"",
  ""translation"": ""ướt""
  },
  {
  ""word"": ""dry"",
  ""translation"": ""khô""
  },
  {
  ""word"": ""cool"",
  ""translation"": ""mát""
  },
  {
  ""word"": ""warm"",
  ""translation"": ""ấm""
  }
  ]
 }",
140526_04,Dạo chơi trong khu vườn thời tiết (phần 2),1614,preA1_6,16,Dạo chơi trong khu vườn thời tiết (phần 2),"{
  ""words"": [
    {
      ""word"": ""Ant"",
      ""translation"": ""Con kiến""
    },
    {
      ""word"": ""Ball"",
      ""translation"": ""Quả bóng""
    },
    {
      ""word"": ""Cool"",
      ""translation"": ""Mát mẻ""
    },
    {
      ""word"": ""Dance"",
      ""translation"": ""Nhảy múa""
    }
  ],
  ""sentences"": []
}",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,Luyện ngữ âm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1614
  }
}",,,,
262026_6.2,Kìa nắng kìa mưa,1457,preA1_6,17,Kìa nắng kìa mưa,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1457
  }
}",,,"{
""words"": [
{ ""word"": ""sunny"", ""translation"": ""có nắng"" },
{ ""word"": ""rainy"", ""translation"": ""có mưa"" },
{ ""word"": ""windy"", ""translation"": ""có gió"" },
{ ""word"": ""cloudy"", ""translation"": ""nhiều mây"" },
{ ""word"": ""snowy"", ""translation"": ""có tuyết"" },
{ ""word"": ""foggy"", ""translation"": ""có sương mù"" },
{ ""word"": ""hot"", ""translation"": ""nóng"" },
{ ""word"": ""cold"", ""translation"": ""lạnh"" },
{ ""word"": ""wet"", ""translation"": ""ướt"" },
{ ""word"": ""dry"", ""translation"": ""khô"" },
{ ""word"": ""cool"", ""translation"": ""mát mẻ"" },
{ ""word"": ""warm"", ""translation"": ""ấm áp"" }
],
""sentences"": [
{
""text"": ""What's the weather like?"",
""translation"": ""Thời tiết như thế nào?""
},
{
""text"": ""It is sunny"",
""translation"": ""Trời có nắng""
},
{
""text"": ""It is rainy"",
""translation"": ""Trời có mưa""
},
{
""text"": ""It is windy"",
""translation"": ""Trời có gió""
},
{
""text"": ""It is cloudy"",
""translation"": ""Trời nhiều mây""
},
{
""text"": ""It is snowy"",
""translation"": ""Trời có tuyết""
},
{
""text"": ""It is foggy"",
""translation"": ""Trời có sương mù""
},
{
""text"": ""It is hot"",
""translation"": ""Trời nóng""
},
{
""text"": ""It is cold"",
""translation"": ""Trời lạnh""
},
{
""text"": ""It is wet"",
""translation"": ""Trời ẩm ướt""
},
{
""text"": ""It is dry"",
""translation"": ""Trời khô""
},
{
""text"": ""It is cool"",
""translation"": ""Trời mát mẻ""
},
{
""text"": ""It is warm"",
""translation"": ""Trời ấm áp""
}
]
}
",
262026_7,Đồ dùng học tập,1025,preA1_7,18,Đồ dùng học tập,"{
  ""words"": [
  {
  ""word"": ""ruler"",
  ""translation"": ""thước kẻ""
  },
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }",Cùng học từ vựng về chủ đề đồ dùng học tập,WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"":1025
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""ruler"",
  ""translation"": ""thước kẻ""
  },
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }",
060526_4,Sách bút tung tăng,1523,preA1_7,19,Sách bút tung tăng,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1523
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""ruler"",
  ""translation"": ""thước kẻ""
  },
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }",
262026_9.2,Phép màu kỳ diệu,1137,preA1_8,20,Phép màu kỳ diệu,"{
  ""words"": [
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }",Cùng nói cụm từ 3 lần để thấy phép màu kỳ diệu từ hành tinh Popa,WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1137
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }",
262026_8,Gặp gỡ bạn Henry,1058,preA1_8,21,Gặp gỡ bạn Henry,"{
  ""words"": [
  {
  ""word"": ""ruler"",
  ""translation"": ""thước kẻ""
  },
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }","Henry là bạn thân của Pika ở trên hành tinh Popa, hôm nay mình sẽ cùng bạn Henry khám phá hành tinh Popa nhé, sẽ có khá nhiều điểm tương đồng với trái đất mình lắm cậu ơi",WORK_FLOW,Luyện tập,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1058
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""ruler"",
  ""translation"": ""thước kẻ""
  },
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }",
262026_9,Thẻ bài học tập,1061,preA1_9,22,Thẻ bài học tập,"{
  ""words"": [
  {
  ""word"": ""ruler"",
  ""translation"": ""thước kẻ""
  },
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }","Những tấm thẻ đầy màu sắc được xáo trộn, cậu hãy tinh mắt để đoán đúng tấm thẻ tớ chọn nhé!",WORK_FLOW,Khởi động,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1061
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""ruler"",
  ""translation"": ""thước kẻ""
  },
  {
  ""word"": ""eraser"",
  ""translation"": ""cục tẩy""
  },
  {
  ""word"": ""book"",
  ""translation"": ""quyển sách""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""bag"",
  ""translation"": ""cái cặp""
  },
  {
  ""word"": ""crayon"",
  ""translation"": ""bút sáp màu""
  }
  ]
 }",
190526_01,Khám phá trường học,1623,preA1_9,23,Khám phá trường học,"{
  ""words"": [
    {
      ""word"": ""Egg"",
      ""translation"": ""Trứng""
    },
    {
      ""word"": ""Fish"",
      ""translation"": ""Cá""
    },
    {
      ""word"": ""Gift"",
      ""translation"": ""Món quà""
    },
    {
      ""word"": ""Hat"",
      ""translation"": ""Cái mũ""
    }
  ],
  ""sentences"": []
}",Pika muốn nói chuyện một chút với cậu về chủ đề thú vị này,AGENT,Luyện ngữ âm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1623
  }
}",,,,
060526_5,Bé soạn cặp sách,1525,preA1_9,24,Bé soạn cặp sách,"{
  ""words"": []
 }","Là lá la, Pika có một bài hát siêu hay dành cho bé đây!",WORK_FLOW,Hát cùng Pika,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1525
  }
}",,,"{
""words"": [
{ ""word"": ""ruler"", ""translation"": ""thước kẻ"" },
{ ""word"": ""eraser"", ""translation"": ""cục tẩy"" },
{ ""word"": ""book"", ""translation"": ""quyển sách"" },
{ ""word"": ""pencil"", ""translation"": ""bút chì"" },
{ ""word"": ""bag"", ""translation"": ""cái cặp"" },
{ ""word"": ""crayon"", ""translation"": ""bút màu"" }
],
""sentences"": [
{
""text"": ""What's this?"",
""translation"": ""Đây là gì?""
},
{
""text"": ""This is a ruler"",
""translation"": ""Đây là một cái thước kẻ""
},
{
""text"": ""This is an eraser"",
""translation"": ""Đây là một cục tẩy""
},
{
""text"": ""This is a book"",
""translation"": ""Đây là một quyển sách""
},
{
""text"": ""This is a pencil"",
""translation"": ""Đây là một cây bút chì""
},
{
""text"": ""This is a bag"",
""translation"": ""Đây là một cái cặp""
},
{
""text"": ""This is a crayon"",
""translation"": ""Đây là một cây bút màu""
}
]
}
",
262026_10,Đồ dùng học tập (phần 2),1089,preA1_10,25,Đồ dùng học tập (phần 2),"{
  ""words"": [
  {
  ""word"": ""board"",
  ""translation"": ""cái bảng""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""case"",
  ""translation"": ""hộp""
  },
  {
  ""word"": ""notebook"",
  ""translation"": ""quyển vở""
  },
  {
  ""word"": ""chair"",
  ""translation"": ""cái ghế""
  },
  {
  ""word"": ""scissors"",
  ""translation"": ""cái kéo""
  },
  {
  ""word"": ""glue"",
  ""translation"": ""keo dán""
  }
  ]
 }",Cùng học từ vựng về chủ đề đồ dùng học tập,WORK_FLOW,Nạp cụm,ACTIVE,"{
  ""default"": {
    ""VI-EN"": 1089
  }
}",,,"{
  ""words"": [
  {
  ""word"": ""board"",
  ""translation"": ""cái bảng""
  },
  {
  ""word"": ""pencil"",
  ""translation"": ""bút chì""
  },
  {
  ""word"": ""case"",
  ""translation"": ""hộp""
  },
  {
  ""word"": ""notebook"",
  ""translation"": ""quyển vở""
  },
  {
  ""word"": ""chair"",
  ""translation"": ""cái ghế""
  },
  {
  ""word"": ""scissors"",
  ""translation"": ""cái kéo""
  },
  {
  ""word"": ""glue"",
  ""translation"": ""keo dán""
  }
  ]
 }",
